"id_cata","code_cata","codbarra_cata","nomb_cata","id_fami","id_sgrup","id_grup","id_unid","id_marca","id_orig","id_colo","id_teji","id_tall","ubic_cata","pfob_cata","pcif_cata","esta_cata","id_emp","desc_cata","tipo_cata","stockmin_cata","combo_cata","textil_cata","gene_cata","gcmarca_cata"
"226","012","177","MILANESA - PICADA (V)","1","4","1","1","1","2","0","0","0","","15.00","11.00","1","1","","2","10000.00","0","0","0","0"
"227","227","","EMPANADA DE QUESO (SNACK)","41","2","1","1","1","2","0","0","0","","3.00","0.00","1","1","","2","0.00","0","0","0","0"
"228","228","","COMBO COLEGA","1","7","1","1","1","2","0","0","0","","10.00","18.00","1","1","antes magnifica, mister combo ,","2","10000.00","0","0","0","0"
"229","SUELDOS-1","","SUELDOS Y SALARIOS","43","73","54","1","1","1","0","0","0","","0.00","0.00","1","1","","1","0.00","0","0","0","0"
"230","HELADOSCABRERA-49","","HELADO SALTIMBANQUI","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"231","FANTA-9","","FANTA GUARANA 2 LITROS","2","45","26","1","3","2","0","0","0","","8.71","8.71","1","1","","2","0.00","0","0","0","1"
"232","FANTA-10","","FANTA GUARANA POPULAR 600 ML.","2","47","26","1","3","2","0","0","0","","2.50","2.50","1","1","","2","0.00","0","0","0","1"
"233","020","","SILLPANCHO (AL)","1","5","1","1","1","2","0","0","0","","12.00","0.00","1","1","","2","0.00","0","0","0","0"
"234","VARIOS-106","","CERVEZA  (PERSONAL)","2","2","26","1","1","2","0","0","0","","6.00","6.00","1","1","","2","0.00","0","0","0","1"
"235","022","","LIMONADA EN VASO - SN","2","46","1","1","1","2","0","0","0","","1.10","1.10","1","1","","2","100.00","0","0","0","0"
"236","236","","COMBO SAN VALENTIN","1","3","2","1","1","1","0","0","0","","3.50","0.00","1","1","antes jugo ades","2","0.00","0","0","0","0"
"237","237","","POLLO LA MAGNIFICA","1","2","1","1","1","1","0","0","0","","15.00","18.00","0","1","","2","10000.00","0","0","0","0"
"238","238","238","PORCION DE TALLARIN (V)","1","2","1","1","1","1","0","0","0","","2.00","3.00","1","1","","2","10000.00","0","0","0","0"
"239","239","239","PORCION DE ENSALADA (V)","1","2","1","1","1","1","0","0","0","","3.50","3.50","1","1","","2","10000.00","0","0","0","0"
"240","007","","PECHUGA A LA PLANCHA (V)","1","7","1","1","1","2","0","0","0","","21.00","21.00","1","1","","2","10000.00","0","0","0","0"
"241","016","","SUPER CAJITA - CHICKEN","1","3","1","1","1","2","0","0","0","","28.00","7.00","1","1","","2","10000.00","0","0","0","0"
"242","242","","SUPER COMBO FAMILIAR (AL)","1","2","1","1","1","1","0","0","0","","10.00","10.00","1","1","","2","10.00","0","0","0","0"
"243","010","243","WINGS - CROCANT  (V)","1","6","1","6","1","2","0","0","0","","5.00","42.00","1","1","","2","100000.00","0","0","0","0"
"244","244","244","DELIVERY - B","43","2","1","1","1","2","0","0","0","","5.00","2.00","1","1","","2","1.00","0","0","0","0"
"245","245","","PRESA EXTRA (AL)","1","2","1","2","1","1","0","0","0","","10.00","10.00","1","1","","2","10000.00","0","0","0","0"
"246","246","246","XXXXXXX","2","2","1","5","1","1","0","0","0","","5.00","5.00","1","1","","3","1000.00","0","0","0","0"
"247","35","","PAQUETE CUMPLEAÑOS  I","43","2","55","5","1","2","0","0","0","","1000.00","1000.00","1","1","","2","1000.00","0","0","0","0"
"248","248","","JUGO DE FRUTILLA CON AGUA (SNACK)","2","45","27","1","1","1","0","0","0","NNN N","5.00","5.00","1","1","JUGO DE FRUTILLA CON AGUA","2","10.00","0","0","0","0"
"249","249","","JUGO DE PAPAYA CON AGUA (SNACK)","2","2","27","1","1","1","0","0","0","NNN","5.00","5.00","1","1","","2","10.00","0","0","0","0"
"250","250","","JUGO DE DURASNO CON AGUA (SNACK)","2","2","27","1","1","1","0","0","0","NNN","5.00","5.00","1","1","","2","10.00","0","0","0","0"
"251","COCACOLA-5","","COCA COLA BOMBON 300 ML","2","47","26","1","2","1","0","0","0","","3.00","3.00","1","1","","2","3.00","0","0","0","1"
"252","005","","COMBO AHORRO","1","7","1","1","1","2","0","0","0","","10.00","10.00","1","1","pollo entero","2","1000.00","0","0","0","0"
"253","COCACOLA-8","","JUGO ADES","2","46","27","4","2","2","0","0","0","","8.00","13.00","1","1","","2","1000.00","0","0","0","1"
"254","28","","JUGO DE FRUTILLA EN JARRA (SNACK)","2","45","27","5","1","2","0","0","0","","18.00","18.00","1","1","","2","1000.00","0","0","0","0"
"255","255","","BURGER KIDS","1","3","1","1","1","2","0","0","0","1","1.00","1.00","1","1","","2","100.00","0","0","0","0"
"256","256","","CHICKEN  KIDS ARROZ","1","7","3","1","1","2","0","0","0","1","1.00","1.00","1","1","","2","100.00","0","0","0","0"
"257","257","","CHICKEN KIDS PAPA","1","7","3","1","1","1","0","0","0","1","1.00","1.00","1","1","","2","100.00","0","0","0","0"
"258","258","","MILANESA JAMONADA","1","4","2","1","1","2","0","0","0","1","1.00","1.00","1","1","","2","100.00","0","0","0","0"
